mood,mood_label,phrases
Sad,0,long day work
 Energetic,2,host party
Calm,3,peaceful study
Happy,1,feel good road trip
Sad,0,lonely night
Calm,3,feeling
 Energetic,2,workout music
Calm,3,ethereal
Happy,1,birthday
 Energetic,2,chore
Calm,3,sleepy
Calm,3,long night
Happy,1,see soon
Sad,0,heartbreak
Happy,1,roadtrip
Happy,1,celebrate
 Energetic,2,pump
Calm,3,feel like float
 Energetic,2,turnt
Calm,3,meditation
Calm,3,sunday morning
Happy,1,feeling bless
Happy,1,feel top world
Happy,1,everything feel right today
Sad,0,feel empty
Sad,0,feel drain
 Energetic,2,sit still
 Energetic,2,turn volume
Calm,3,today feel chill
Calm,3,feel gentle
Calm,3,centre
Calm,3,enjoy quiet
 Energetic,2,high adrenaline
 Energetic,2,feel alive
Sad,0,one day
 Energetic,2,cloud nine
 Energetic,2,pumped
 Energetic,2,workout jam
Calm,3,focus want focus
Calm,3,flow music
Happy,1,42
Calm,3,time sleep
Happy,1,sweet melody
Calm,3,yoga
 Energetic,2,go
Sad,0,exam
Happy,1,graduate
 Energetic,2,go movie
 Energetic,2,play basketball
Happy,1,buy new car
 Energetic,2,wed party
Happy,1,smile
Sad,0,cold shoulder
Happy,1,ice cream date
Sad,0,unseen scar
Happy,1,family game time
Sad,0,cold pillow night
Sad,0,miss call
Happy,1,new year vibe
 Energetic,2,firework display
 Energetic,2,end year party
 Energetic,2,surprise party
Happy,1,summer festival
Sad,0,lose thought
Sad,0,heart piece
Happy,1,first date butterfly
 Energetic,2,win streak
Calm,3,sundowner
Happy,1,beautiful life
 Energetic,2,bowling date
Happy,1,good day
Calm,3,candlelit dinner
Calm,3,pyjama vibe
Happy,1,daydream
Calm,3,journal time
Calm,3,inner peace
Calm,3,still water
 Energetic,2,limit
 Energetic,2,pregame hype
 Energetic,2,rooftop party
Happy,1,happy hour
Sad,0,lose love letter
Sad,0,empty promise
Sad,0,cold hearted
 Energetic,2,arcade vibe
Sad,0,emotional rollercoaster
Happy,1,girl brunch
Happy,1,christmas eve
Happy,1,christmas carol
Calm,3,day
Happy,1,festive season
Sad,0,forgotten dream
Sad,0,grieve
Sad,0,bitter goodbye
Calm,3,fresh start
Calm,3,warmup
Happy,1,make
 Energetic,2,dancefloor
Calm,3,babysitting
Happy,1,freeze shine
 Energetic,2,beast mode
Calm,3,bird watch
Calm,3,monkmode
 Energetic,2,lock
Calm,3,soul search
 Energetic,2,limitless
 Energetic,2,wilding
 Energetic,2,0 100
Sad,0,cloud thought
Sad,0,stick head
Sad,0,lose memory
Happy,1,excite
Sad,0,numb inside
Calm,3,pillowtalk
Happy,1,pure joy
Happy,1,feel grateful
Happy,1,positive energy
Calm,3,ocean vibe
Happy,1,hangout
Calm,3,relaxed moment
Calm,3,slow morning
 Energetic,2,boy day
 Energetic,2,game
Sad,0,silent night
Sad,0,tear drop
Sad,0,alone
Happy,1,breakfast date
Happy,1,comedy night
Calm,3,stargaze
Sad,0,dead flower
Sad,0,never
Sad,0,bad hair day
Sad,0,walk rain
Sad,0,deep pain
Happy,1,love air
Happy,1,god
Happy,1,rainbow sky
Happy,1,midnight snack
Happy,1,fresh haircut
 Energetic,2,group trivia
 Energetic,2,sunrise trail run
Calm,3,ferry ride
Calm,3,chill poolside
 Energetic,2,swim session
Happy,1,highschool crush
Happy,1,cocktail party
 Energetic,2,kid party
Happy,1,worship time
Happy,1,pancake morning
Happy,1,barbeque night
Calm,3,long flight
Happy,1,prom night
Happy,1,picnic date
 Energetic,2,fight night
Calm,3,library session
Calm,3,balcony view
Sad,0,love
Calm,3,night shift
Happy,1,get pay
Calm,3,bedtime story
Sad,0,leave read
Happy,1,match tattoo
Sad,0,airport goodbye
 Energetic,2,levelup
 Energetic,2,handle business
 Energetic,2,rush hour
Happy,1,smiley face
 Energetic,2,rockstar
Calm,3,life
Sad,0,bad day
Happy,1,magical day
Calm,3,sit home
Sad,0,alone
Happy,1,good old day
 Energetic,2,cheerleader
 Energetic,2,shake
Happy,1,strange effect
 Energetic,2,let u go party
Happy,1,vacation
Sad,0,mourn
Calm,3,lullaby
 Energetic,2,football game day
Calm,3,rain cuddle
Happy,1,gym
Happy,1,night drive
Happy,1,positive achievments
Calm,3,lazy day
 Energetic,2,playful
Calm,3,moonlight gaze
Sad,0,lonley
Calm,3,boat ride
Calm,3,acoustic effect
 Energetic,2,cook
Happy,1,hair cut
Calm,3,peaceful sound
Calm,3,soft piano
Calm,3,deep rest
Happy,1,push harder
 Energetic,2,go swimming
Happy,1,cooking
Happy,1,try new restaurant
Happy,1,weekend
Sad,0,monday
Happy,1,mom phone call
Sad,0,turn 25
Calm,3,run errand
Sad,0,project week
Calm,3,make new friend
Sad,0,overthinking
Sad,0,anxiety
 Energetic,2,shopping
Happy,1,new shoe
Sad,0,next year
Happy,1,playing domino
Happy,1,play chess
 Energetic,2,meeting love life
Sad,0,sick day
Calm,3,go interview
Happy,1,mpesa notification
Happy,1,tonight night
Sad,0,
Sad,0,depressed
Sad,0,get period
Calm,3,need chill moment
Happy,1,heart full
 Energetic,2,hit gym
Happy,1,feel grateful
 Energetic,2,throw party
 Energetic,2,throw
